LCSC Part#,MPN,Manufacturer,Datasheet,Availability,Pricing($),Minimum,Multiples,Product Detail,Package,Packaging,Type,Resistance,Tolerance,Voltage Rating,Power(Watts),Temperature Coefficient
C165760,RC0603FR-07162KL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C165760,14000,0.0051,100,100,https://www.lcsc.com/product-detail/C165760.html,0603,Tape & Reel (TR),Thick Film Resistor,162kΩ,±1%,75V,100mW,±100ppm/℃
C144560,AC0805FR-07470RL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/3511efb0564cb1711d9237ab09d6e97b.pdf?productCode=C144560,14000,0.0112,100,100,https://www.lcsc.com/product-detail/C144560.html,0805,Tape & Reel (TR),Thick Film Resistor,470Ω,±1%,150V,125mW,±100ppm/℃
C137592,RC0805FR-0713KL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C137592,14000,0.0056,100,100,https://www.lcsc.com/product-detail/C137592.html,0805,Tape & Reel (TR),Thick Film Resistor,13kΩ,±1%,150V,125mW,±100ppm/℃
C137519,RC0805FR-0747K5L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C137519,13800,0.0073,100,100,https://www.lcsc.com/product-detail/C137519.html,0805,Tape & Reel (TR),Thick Film Resistor,47.5kΩ,±1%,150V,125mW,±100ppm/℃
C723351,RC0805FR-7W100RL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C723351,13780,0.0388,20,20,https://www.lcsc.com/product-detail/C723351.html,0805,Tape & Reel (TR),Thick Film Resistor,100Ω,±1%,150V,250mW,±100ppm/℃
C477191,RC0402FR-071K15L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C477191,13700,0.0010,100,100,https://www.lcsc.com/product-detail/C477191.html,0402,Tape & Reel (TR),Thick Film Resistor,1.15kΩ,±1%,50V,62.5mW,±100ppm/℃
C144778,AC0402FR-0722KL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/3511efb0564cb1711d9237ab09d6e97b.pdf?productCode=C144778,13600,0.0035,100,100,https://www.lcsc.com/product-detail/C144778.html,0402,Tape & Reel (TR),Thick Film Resistor,22kΩ,±1%,50V,62.5mW,±100ppm/℃
C7065764,AC0402FR-7W12KL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/3511efb0564cb1711d9237ab09d6e97b.pdf?productCode=C7065764,13400,0.0045,100,100,https://www.lcsc.com/product-detail/C7065764.html,0402,Tape & Reel (TR),Thick Film Resistor,12kΩ,±1%,75V,125mW,±100ppm/℃
C137499,RC0805FR-07680KL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C137499,13400,0.0077,100,100,https://www.lcsc.com/product-detail/C137499.html,0805,Tape & Reel (TR),Thick Film Resistor,680kΩ,±1%,150V,125mW,±100ppm/℃
C245989,RC0603FR-0762RL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C245989,13300,0.0062,100,100,https://www.lcsc.com/product-detail/C245989.html,0603,Tape & Reel (TR),Thick Film Resistor,62Ω,±1%,75V,100mW,±100ppm/℃
C274895,RC0402FR-075K11L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C274895,13200,0.0017,100,100,https://www.lcsc.com/product-detail/C274895.html,0402,Tape & Reel (TR),Thick Film Resistor,5.11kΩ,±1%,50V,62.5mW,±100ppm/℃
C185351,RC0603FR-07205KL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C185351,13200,0.0056,100,100,https://www.lcsc.com/product-detail/C185351.html,0603,Tape & Reel (TR),Thick Film Resistor,205kΩ,±1%,75V,100mW,±100ppm/℃
C245925,RC0603FR-0719K6L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C245925,13100,0.0056,100,100,https://www.lcsc.com/product-detail/C245925.html,0603,Tape & Reel (TR),Thick Film Resistor,19.6kΩ,±1%,75V,100mW,±100ppm/℃
C138000,RC0402FR-07360RL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C138000,13100,0.0045,100,100,https://www.lcsc.com/product-detail/C138000.html,0402,Tape & Reel (TR),Thick Film Resistor,360Ω,±1%,50V,62.5mW,±100ppm/℃
C185355,RC0603FR-071K87L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C185355,13000,0.0071,100,100,https://www.lcsc.com/product-detail/C185355.html,0603,Tape & Reel (TR),Thick Film Resistor,1.87kΩ,±1%,75V,100mW,±100ppm/℃
C137741,RC0603FR-0734K8L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C137741,12900,0.0076,100,100,https://www.lcsc.com/product-detail/C137741.html,0603,Tape & Reel (TR),Thick Film Resistor,34.8kΩ,±1%,75V,100mW,±100ppm/℃
C137702,RC0603FR-0751R1L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C137702,12900,0.0056,100,100,https://www.lcsc.com/product-detail/C137702.html,0603,Tape & Reel (TR),Thick Film Resistor,51.1Ω,±1%,75V,100mW,±100ppm/℃
C6751349,RC0402FR-1316KL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C6751349,12600,0.0010,100,100,https://www.lcsc.com/product-detail/C6751349.html,0402,Tape & Reel (TR),Thick Film Resistor,16kΩ,±1%,50V,63mW,±100ppm/℃
C144549,AC0805FR-07680RL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/3511efb0564cb1711d9237ab09d6e97b.pdf?productCode=C144549,12500,0.0106,100,100,https://www.lcsc.com/product-detail/C144549.html,0805,Tape & Reel (TR),Thick Film Resistor,680Ω,±1%,150V,125mW,±100ppm/℃
C185333,RC0603FR-073K16L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C185333,12400,0.0043,100,100,https://www.lcsc.com/product-detail/C185333.html,0603,Tape & Reel (TR),Thick Film Resistor,3.16kΩ,±1%,75V,100mW,±100ppm/℃
C138271,AC0805FR-0720KL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/3511efb0564cb1711d9237ab09d6e97b.pdf?productCode=C138271,12200,0.0110,100,100,https://www.lcsc.com/product-detail/C138271.html,0805,Tape & Reel (TR),Thick Film Resistor,20kΩ,±1%,150V,125mW,±100ppm/℃
C228277,AC0805FR-07120RL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/3511efb0564cb1711d9237ab09d6e97b.pdf?productCode=C228277,12150,0.0114,50,50,https://www.lcsc.com/product-detail/C228277.html,0805,Tape & Reel (TR),Thick Film Resistor,120Ω,±1%,150V,125mW,±100ppm/℃
