LCSC Part#,MPN,Manufacturer,Datasheet,Availability,Pricing($),Minimum,Multiples,Product Detail,Package,Packaging,Polarity,Clamping Voltage,Reverse Leakage Current (Ir),type,Peak Pulse Power Dissipation (Ppp),Operating Temperature,Reverse Stand-Off Voltage (Vrwm),Voltage - Breakdown,Number of Channels,Peak Pulse Current (Ipp)
C224048,SMCJ30A,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/4ffc39069ef6aef3785dfbfda82b9e7d.pdf?productCode=C224048,17035,0.4046,5,5,https://www.lcsc.com/product-detail/C224048.html,DO-214AB,Tape & Reel (TR),Unidirectional,48.4V,1uA,TVS,1.5kW@10/1000us,-65℃~+150℃,30V,36.8V,1,31A@10/1000us
C151283,SMCJ36CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/4ffc39069ef6aef3785dfbfda82b9e7d.pdf?productCode=C151283,13545,0.3430,5,5,https://www.lcsc.com/product-detail/C151283.html,DO-214AB,Tape & Reel (TR),Bidirectional,58.1V,1uA,TVS,1.5kW@10/1000us,-65℃~+150℃,36V,44.2V,1,25.9A@10/1000us
C1973072,SMCJ15A,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/d99b181af1fd4367abb6f6b0192c317c.pdf?productCode=C1973072,9860,0.2976,5,5,https://www.lcsc.com/product-detail/C1973072.html,DO-214AB,Tape & Reel (TR),Unidirectional,24.4V,1uA,TVS,1.5kW@10/1000us,-65℃~+150℃,15V,18.5V,1,61.5A@10/1000us
C151287,SMCJ48CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/4ffc39069ef6aef3785dfbfda82b9e7d.pdf?productCode=C151287,8755,0.2255,5,5,https://www.lcsc.com/product-detail/C151287.html,DO-214AB,Tape & Reel (TR),Bidirectional,77.4V,1uA,TVS,1.5kW@10/1000us,-65℃~+150℃,48V,58.9V,1,19.4A@10/1000us
C1975810,TPSMD16A,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/b11f7c4d547ebb924a4813a7a78e322f.pdf?productCode=C1975810,6590,0.6728,1,1,https://www.lcsc.com/product-detail/C1975810.html,DO-214AB(SMCJ),Tape & Reel (TR),Unidirectional,26V,2uA,TVS,3kW@10/1000us,-65℃~+150℃,16V,17.8V,,115.4A
C720069,SMCJ28CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/4ffc39069ef6aef3785dfbfda82b9e7d.pdf?productCode=C720069,6365,0.2881,5,5,https://www.lcsc.com/product-detail/C720069.html,DO-214AB,Tape & Reel (TR),Bidirectional,45.4V,1uA,TVS,1.5kW@10/1000us,-65℃~+150℃,28V,31.1V,1,33.1A
C151279,SMCJ24CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/4ffc39069ef6aef3785dfbfda82b9e7d.pdf?productCode=C151279,5640,0.4350,5,5,https://www.lcsc.com/product-detail/C151279.html,DO-214AB,Tape & Reel (TR),Bidirectional,38.9V,1uA,TVS,1.5kW@10/1000us,-65℃~+150℃,24V,29.5V,1,38.9A@10/1000us
C151281,SMCJ30CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/4ffc39069ef6aef3785dfbfda82b9e7d.pdf?productCode=C151281,5485,0.2792,5,5,https://www.lcsc.com/product-detail/C151281.html,DO-214AB,Tape & Reel (TR),Bidirectional,48.4V,1uA,TVS,1.5kW@10/1000us,-65℃~+150℃,30V,36.8V,1,31A@10/1000us
C224035,SMCJ10CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/4ffc39069ef6aef3785dfbfda82b9e7d.pdf?productCode=C224035,5470,0.2819,5,5,https://www.lcsc.com/product-detail/C224035.html,DO-214AB,Tape & Reel (TR),Bidirectional,17V,5uA,TVS,1.5kW@10/1000us,-65℃~+150℃,10V,12.3V,1,88.3A@10/1000us
C224050,SMCJ33CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/4ffc39069ef6aef3785dfbfda82b9e7d.pdf?productCode=C224050,5175,0.2928,5,5,https://www.lcsc.com/product-detail/C224050.html,DO-214AB,Tape & Reel (TR),Bidirectional,53.3V,1uA,TVS,1.5kW@10/1000us,-65℃~+150℃,33V,40.6V,1,28.2A@10/1000us
C224047,SMCJ28A,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/4ffc39069ef6aef3785dfbfda82b9e7d.pdf?productCode=C224047,5110,0.3301,5,5,https://www.lcsc.com/product-detail/C224047.html,DO-214AB,Tape & Reel (TR),Unidirectional,45.4V,1uA,TVS,1.5kW@10/1000us,-65℃~+150℃,28V,34.4V,1,33.1A
C224052,SMCJ40A,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/4ffc39069ef6aef3785dfbfda82b9e7d.pdf?productCode=C224052,4756,0.2429,1,1,https://www.lcsc.com/product-detail/C224052.html,DO-214AB,Tape & Reel (TR),Unidirectional,64.5V,1uA,TVS,1.5kW@10/1000us,-65℃~+150℃,40V,49.1V,1,23.3A@10/1000us
C151290,SMCJ60CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/4ffc39069ef6aef3785dfbfda82b9e7d.pdf?productCode=C151290,4585,0.2974,5,5,https://www.lcsc.com/product-detail/C151290.html,DO-214AB,Tape & Reel (TR),Bidirectional,96.8V,1uA,TVS,1.5kW@10/1000us,-65℃~+150℃,60V,73.7V,1,15.5A@10/1000us
